,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/23,04/24,04/25,04/27,04/28,04/29,04/30,05/01,05/03,05/04,05/05,05/08,05/09,05/11,05/12,05/13,05/14,05/15,05/18,05/20,05/21,05/22,05/23,05/28,06/01,06/12,06/13,06/16,06/17,06/18,06/23,06/24,06/25,06/26,06/27,06/29,06/30,07/01,07/02,07/03,07/04,07/06,07/07,07/08,07/09,07/10,07/11,07/13,07/14,07/15,07/16,07/17,07/18,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09,08/10,08/11,08/19,08/20,08/21,08/29,08/31,09/01,09/02,09/03,09/04,09/05,09/14,09/24,10/04,10/05,10/06,10/07,10/08,10/10,10/11,10/12,10/13,10/14,10/15,10/16,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,11/02,11/07,11/20,11/24,11/26,11/27,12/04,12/21,02/25,02/26,03/01,03/02,03/03,03/04,03/05,03/08,03/09
Syracuse,107,120,127,137,146,11357.0,160,169,181,201,210,226,236,244,260,269,274,287,310,328,188,199,204,220,225,231,238,258,263,266,300,306,329,338,345,352,357,864,400,415,424,491,531,562,727,772,818,844,899,1096,1101,1101,1109,1117,1174,1175,1197,1245,1252,1261,1341,1362,1368,1406,1414,1424,1471,1481,1485,1485,1489,1728,1497,1508,1532,1545,1546,1547,1553,1595,1608,1622,1623,1625,1630,1632,1640,1656,1659,1667,1674,1681,1682,1692,1696,1716,1890,1726,1770,1775,1777,1779,1949,1791,1796,1834,1871,1931,1937,1940,1945,1949,1968,1968,1971,1990,1992,2001,2034,2154,2173,2190,2190,2217,2229,2242,2254,2321,2414,2898,3124,4166,3385,3970,5459,10315.0,10357.0,10430.0,10455.0,10460.0,10499.0,10517.0,10555.0,10565.0
Clay,34,37,40,40,43,4113.0,52,55,56,60,61,62,64,64,67,68,70,72,72,74,54,56,60,63,63,63,63,69,71,72,76,78,81,81,83,86,89,124,96,100,102,103,107,110,137,141,149,150,153,170,173,173,173,177,178,178,180,185,186,186,189,193,196,199,200,200,207,213,217,218,219,250,228,232,243,244,244,244,247,251,256,257,258,259,260,261,264,266,266,267,267,270,270,271,274,284,303,284,296,300,300,301,324,304,308,323,335,352,356,361,362,363,367,367,367,376,377,378,383,391,395,401,401,405,407,411,413,437,473,630,704,1051,787,1013,1544,3784.0,3792.0,3833.0,3836.0,3840.0,3853.0,3862.0,3889.0,3898.0
DeWitt,24,25,28,28,29,1562.0,30,31,33,33,32,33,33,33,34,35,36,36,38,40,26,26,27,29,29,29,31,33,33,33,37,39,42,44,45,46,46,62,53,53,53,53,55,55,62,67,73,74,74,78,79,79,79,79,79,79,79,79,79,79,81,84,86,89,89,90,95,95,96,96,98,106,101,102,103,104,104,104,104,108,111,111,112,112,113,113,113,114,114,114,114,115,115,115,117,119,129,120,132,133,133,133,139,134,135,138,146,160,163,166,166,169,173,174,176,180,181,181,184,201,207,210,210,212,213,213,219,227,248,333,351,438,381,438,629,1431.0,1431.0,1443.0,1445.0,1446.0,1450.0,1451.0,1460.0,1463.0
Salina,23,23,23,23,24,2146.0,27,27,27,30,30,33,34,35,36,36,37,37,38,38,30,31,31,31,31,31,32,33,33,33,36,38,39,40,40,46,47,67,48,52,55,56,57,58,73,75,79,79,82,96,96,96,97,100,102,102,102,104,104,104,108,112,114,116,117,117,122,125,128,127,129,190,140,142,149,150,151,151,156,159,162,165,166,167,167,167,169,170,170,171,171,171,171,172,172,177,208,178,181,181,181,183,217,183,183,192,194,206,209,218,220,221,225,225,225,229,231,232,234,241,243,244,244,247,247,248,248,259,286,374,403,574,446,541,839,1998.0,2000.0,2011.0,2015.0,2017.0,2023.0,2023.0,2034.0,2036.0
Camillus,21,23,23,24,25,1837.0,27,27,28,30,32,32,32,32,33,33,33,33,33,33,28,28,28,28,28,28,28,29,30,30,33,33,33,33,33,33,33,51,37,37,38,38,38,39,49,52,53,55,55,59,59,59,59,61,61,61,62,64,65,65,65,66,66,66,66,66,67,67,67,67,67,81,68,69,72,72,73,73,73,75,77,79,80,80,80,80,80,81,83,86,86,86,86,87,87,93,116,97,112,116,117,117,138,119,124,141,149,162,162,166,168,168,168,168,168,168,169,169,171,178,183,184,184,184,186,188,191,201,212,272,298,396,323,379,700,1698.0,1704.0,1719.0,1720.0,1722.0,1730.0,1732.0,1740.0,1742.0
Cicero,19,22,22,23,23,2173.0,23,24,25,26,26,25,25,26,26,26,26,26,26,27,24,24,24,24,25,25,26,29,29,29,30,30,31,31,33,33,33,56,33,35,35,35,38,40,50,51,51,51,51,63,63,63,63,63,65,65,67,70,70,71,74,79,79,82,82,82,83,87,88,88,89,112,96,99,102,103,103,103,104,108,111,114,114,114,114,114,117,123,125,125,126,129,129,130,132,132,137,132,133,133,133,134,145,135,136,146,148,157,159,162,163,163,164,164,165,169,170,171,175,182,184,185,185,188,191,194,194,208,240,336,375,592,441,575,854,1985.0,1986.0,2011.0,2017.0,2022.0,2034.0,2039.0,2050.0,2054.0
Manlius,18,20,20,19,21,1879.0,30,30,32,36,38,39,39,43,44,45,45,46,49,50,34,36,36,38,38,38,39,38,39,39,44,45,48,49,49,51,51,64,54,55,55,55,55,56,64,65,67,67,67,71,71,71,71,71,72,72,72,74,74,74,78,81,82,86,86,86,89,94,94,94,94,113,96,96,97,99,99,99,99,102,105,106,106,107,108,108,108,111,112,112,112,113,113,115,116,119,133,120,125,127,127,127,141,128,129,139,147,160,162,164,164,168,171,171,171,172,176,177,178,189,195,198,198,201,205,205,207,213,225,317,338,478,373,465,689,1708.0,1712.0,1727.0,1729.0,1731.0,1739.0,1741.0,1756.0,1758.0
Onondaga,18,19,18,19,20,1913.0,22,22,22,23,26,27,28,28,30,30,30,33,33,36,21,22,22,23,24,24,24,28,28,28,28,28,28,28,29,31,31,123,34,34,34,35,38,38,52,52,54,54,71,116,117,117,117,117,119,119,119,119,120,120,122,124,124,126,127,127,135,136,137,137,137,173,139,143,148,148,149,149,149,152,156,156,156,158,159,159,164,164,164,164,165,165,165,165,166,170,208,173,188,189,190,190,226,192,193,199,208,221,221,226,226,228,231,231,232,235,237,237,237,251,252,253,253,257,264,265,267,278,295,348,363,490,399,455,657,1788.0,1792.0,1803.0,1807.0,1808.0,1810.0,1812.0,1819.0,1821.0
Pompey,13,15,15,15,15,328.0,15,15,17,16,16,17,17,19,19,20,20,20,20,20,18,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,24,22,22,22,22,22,22,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,28,28,28,28,28,28,28,29,30,29,29,30,30,30,30,30,30,30,30,30,30,30,30,33,33,34,34,35,36,36,36,36,36,38,36,39,39,39,39,41,39,39,41,43,45,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,50,51,51,52,53,53,67,72,91,81,93,117,288.0,289.0,290.0,290.0,290.0,292.0,293.0,293.0,293.0
Geddes,11,11,12,13,14,1516.0,16,16,16,18,18,19,19,20,21,21,21,21,20,20,17,18,18,18,18,21,21,21,21,21,21,21,23,23,23,23,24,86,29,29,29,30,30,31,37,39,42,44,44,84,84,84,84,86,88,88,88,90,91,91,104,104,109,110,110,112,112,114,114,114,114,173,115,117,121,121,121,121,121,147,152,154,154,154,155,155,158,164,165,165,170,171,171,171,171,173,212,173,185,186,186,187,232,190,190,206,215,225,226,228,229,230,231,231,231,233,233,234,234,243,245,246,246,249,252,253,254,259,274,327,341,488,366,441,668,1413.0,1414.0,1426.0,1430.0,1431.0,1435.0,1437.0,1444.0,1446.0
